no of cores,r1,r2,r3,r_avg
1,11.22955,11.13949,11.19402,11.187686666666666
2,5.980527,5.996274,5.964796,5.980532333333334
3,4.255243,4.26466,4.420319,4.313407333333333
4,3.344082,3.371902,3.362609,3.3595310000000005
5,2.988528,3.010169,3.014117,3.0042713333333335
6,2.784904,2.776625,3.001761,2.8544300000000002
7,2.816358,2.721427,2.703765,2.7471833333333335
8,2.621898,2.620371,2.871018,2.7044289999999997
9,2.560567,3.183573,2.584341,2.7761603333333333
10,2.446746,2.804975,2.64386,2.6318603333333335
11,2.428927,3.119209,2.80416,2.7840986666666665
12,2.686539,2.525061,3.223448,2.8116826666666666
13,2.848442,2.541112,2.537923,2.6424923333333337
14,2.66689,2.542163,2.499554,2.5695356666666664
15,2.475288,2.537921,2.538258,2.5171556666666666
16,2.219922,2.221278,2.25651,2.2325700000000004
17,2.221838,2.235255,2.237276,2.2314563333333335
18,2.165157,2.163225,2.142526,2.1569693333333335
19,2.006433,2.10292,2.091788,2.067047
20,2.346474,2.468482,2.780604,2.5318533333333337
21,2.08529,2.746722,1.967067,2.2663596666666668
22,2.213097,1.939624,1.667485,1.9400686666666667
23,1.824836,1.851359,1.71478,1.7969916666666668
24,1.646048,1.742682,2.214931,1.8678869999999999
25,1.718242,1.811009,1.701215,1.7434886666666667
26,2.812964,1.69839,2.349094,2.286816
27,1.720492,1.726989,1.743021,1.7301673333333332
28,1.800128,1.831279,1.916678,1.8493616666666668
29,1.620244,1.598732,1.857322,1.6920993333333332
30,1.640146,2.573935,2.567914,2.260665
31,1.498419,1.515828,1.669831,1.5613593333333335
32,1.989057,1.485114,2.080988,1.8517196666666667
33,1.95586,1.459127,1.398389,1.6044586666666667
34,1.369719,1.377839,1.382458,1.376672
35,1.757454,1.382905,1.333216,1.4911916666666667
36,1.358212,1.46768,1.425164,1.4170186666666666
37,1.347697,1.259307,1.264875,1.2906263333333332
38,1.64067,1.8253,1.393439,1.619803
39,1.235307,1.392887,1.529887,1.3860269999999997
40,1.471118,1.217142,1.336439,1.3415663333333334
41,1.139805,1.398325,1.164608,1.234246
42,1.235098,1.187355,1.282346,1.234933
43,1.133627,1.103121,1.24218,1.1596426666666666
44,1.065849,1.807552,1.079189,1.31753
45,1.173795,1.132227,1.171431,1.1591509999999998
46,1.045191,1.140062,1.058829,1.0813606666666666
47,1.320071,0.996321,1.134504,1.1502986666666668
48,1.078356,0.998507,1.149957,1.0756066666666666
49,1.114101,1.371114,0.956399,1.1472046666666669
50,0.95262,1.096401,1.333535,1.1275186666666666
51,0.968881,0.934064,1.271044,1.0579963333333333
52,0.987688,1.005586,0.89675,0.9633413333333333
53,0.943413,0.904057,1.133509,0.9936596666666667
54,0.971658,0.986791,0.890543,0.949664
55,0.926927,0.880973,0.920674,0.9095246666666666
56,0.872409,0.890331,0.92628,0.89634
